,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
8118,2017 Maruti Ignis,Petrol,"25,444 kms",1197,Automatic,20.89 kmpl,5,Other,81.8,Disc,Drum,260-litres,1595,1690,3700,-,9,,https://www.cardekho.com/used-cars+in+mumbai,5.04 Lakh
8119,2020 Maruti Ignis,Petrol,"8,054 kms",1197,Automatic,20.89 kmpl,5,White,81.8,Disc,Drum,260-litres,1595,1690,3700,-,-,,https://www.cardekho.com/used-cars+in+mumbai,5.3 Lakh
8120,2017 Maruti Celerio,Petrol,"2,492 kms",998,Manual,23.1 kmpl,5,Red,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,9,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.39 Lakh
8121,2014 Maruti Celerio,Petrol,"33,630 kms",998,Manual,23.1 kmpl,5,Grey,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,-,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,3.96 Lakh
8122,2016 Hyundai i20,Petrol,"59,140 kms",1197,Manual,18.6 kmpl,5,White,81.83,Disc,Drum,295-litres,1505,1734,3985,-,-,170 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.51 Lakh
8123,2018 Maruti Celerio,Petrol,"15,205 kms",998,Manual,21.63 kmpl,5,White,67.05,Ventilated Disc,Drum,235-litres,1560,1600,3695,1250,9.5,,https://www.cardekho.com/used-cars+in+mumbai,4.11 Lakh
8124,2014 Maruti Celerio,Petrol,"56,892 kms",998,Manual,23.1 kmpl,5,Red,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,6,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,3.78 Lakh
8125,2015 Maruti Celerio,Petrol,"62,575 kms",998,Manual,23.1 kmpl,5,White,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,9,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.2 Lakh
8126,2017 Maruti Celerio,Petrol,"37,132 kms",998,Manual,23.1 kmpl,5,Grey,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,9,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.05 Lakh
8127,2014 Maruti Celerio,Petrol,"29,719 kms",998,Manual,23.1 kmpl,5,White,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,9,150 Kmph,https://www.cardekho.com/used-cars+in+mumbai,3.59 Lakh
